model,task_source_index,T_c,alpha_mean,beta_mean,alpha_beta_ratio,n_runs
Mistral 7B,197,2,0.15,0.1,1.4999999999999998,3
Mistral 7B,198,1,0.05,0.05,1.0,3
Mistral 7B,199,2,0.05,0.05,1.0,3
Mistral 7B,200,1,0.0,0.0,0.0,3
Mistral 7B,201,1,0.06666666666666667,0.1,0.6666666666666666,3
Mistral 7B,202,1,0.0,0.0,0.0,3
Mistral 7B,203,2,0.11666666666666665,0.2,0.5833333333333333,3
Mistral 7B,204,1,0.0,0.0,0.0,3
Mistral 7B,205,1,0.0,0.0,0.0,3
Mistral 7B,206,1,0.03333333333333333,0.1,0.3333333333333333,3
Mistral 7B,207,1,0.06666666666666667,0.1,0.6666666666666666,3
Mistral 7B,208,1,0.0,0.0,0.0,3
Mistral 7B,209,2,0.03333333333333333,0.1,0.3333333333333333,3
Mistral 7B,210,1,0.0,0.0,0.0,3
Mistral 7B,211,2,0.05,0.05,1.0,3
Mistral 7B,212,1,0.0,0.0,0.0,3
Mistral 7B,213,1,0.05,0.05,1.0,3
Mistral 7B,214,2,0.03333333333333333,0.0,inf,3
Mistral 7B,215,1,0.18333333333333332,0.2,0.9166666666666665,3
Mistral 7B,216,1,0.0,0.0,0.0,3
Mistral 7B,217,1,0.03333333333333333,0.1,0.3333333333333333,3
Mistral 7B,218,1,0.0,0.0,0.0,3
Mistral 7B,219,1,0.0,0.0,0.0,3
Mistral 7B,220,1,0.03333333333333333,0.1,0.3333333333333333,3
Mistral 7B,221,1,0.03333333333333333,0.1,0.3333333333333333,3
Mistral 7B,222,1,0.1,0.1,1.0,3
Mistral 7B,223,1,0.05,0.05,1.0,3
Mistral 7B,224,1,0.0,0.0,0.0,3
Mistral 7B,225,1,0.06666666666666667,0.2,0.3333333333333333,3
Mistral 7B,226,1,0.05,0.06666666666666667,0.75,3
Mistral 7B,227,1,0.0,0.0,0.0,3
Mistral 7B,228,4,0.18333333333333332,0.03333333333333333,5.5,3
Mistral 7B,229,1,0.0,0.1,0.0,3
Mistral 7B,230,1,0.0,0.0,0.0,3
Mistral 7B,231,1,0.0,0.0,0.0,3
Mistral 7B,232,1,0.15,0.2,0.7499999999999999,3
Mistral 7B,233,1,0.06666666666666667,0.1,0.6666666666666666,3
Mistral 7B,234,1,0.0,0.0,0.0,3
Mistral 7B,235,1,0.03333333333333333,0.2,0.16666666666666666,3
Mistral 7B,236,1,0.1,0.03333333333333333,3.0,3
Mistral 7B,237,1,0.03333333333333333,0.0,inf,3
Mistral 7B,238,1,0.03333333333333333,0.0,inf,3
Mistral 7B,239,1,0.0,0.1,0.0,3
Mistral 7B,240,1,0.03333333333333333,0.1,0.3333333333333333,3
Mistral 7B,241,1,0.03333333333333333,0.0,inf,3
Mistral 7B,242,1,0.0,0.0,0.0,3
Mistral 7B,243,1,0.05,0.0,inf,3
Mistral 7B,244,1,0.15,0.15,1.0,3
Mistral 7B,245,2,0.06666666666666667,0.1,0.6666666666666666,3
Mistral 7B,246,1,0.03333333333333333,0.1,0.3333333333333333,3
Mistral 7B,247,1,0.2,0.1,2.0,3
Mistral 7B,248,1,0.03333333333333333,0.1,0.3333333333333333,3
Mistral 7B,249,1,0.08333333333333333,0.15,0.5555555555555556,3
Mistral 7B,250,2,0.03333333333333333,0.0,inf,3
Mistral 7B,251,1,0.0,0.0,0.0,3
Mistral 7B,252,1,0.0,0.0,0.0,3
Mistral 7B,253,2,0.11666666666666665,0.15,0.7777777777777777,3
Mistral 7B,254,1,0.0,0.0,0.0,3
Mistral 7B,255,1,0.0,0.0,0.0,3
Mistral 7B,256,1,0.0,0.06666666666666667,0.0,3
Mistral 7B,257,1,0.05,0.08333333333333333,0.6000000000000001,3
Mistral 7B,258,2,0.06666666666666667,0.2,0.3333333333333333,3
Mistral 7B,259,1,0.1,0.2,0.5,3
Mistral 7B,260,1,0.0,0.1,0.0,3
Mistral 7B,261,1,0.11666666666666665,0.15,0.7777777777777777,3
Mistral 7B,262,1,0.05,0.1,0.5,3
Mistral 7B,263,1,0.1,0.1,1.0,3
Mistral 7B,264,2,0.05,0.0,inf,3
Mistral 7B,265,1,0.05,0.06666666666666667,0.75,3
Mistral 7B,266,1,0.0,0.0,0.0,3
Mistral 7B,267,1,0.03333333333333333,0.1,0.3333333333333333,3
Mistral 7B,268,2,0.13333333333333333,0.1,1.3333333333333333,3
Mistral 7B,269,1,0.0,0.0,0.0,3
Mistral 7B,270,2,0.16666666666666666,0.15,1.1111111111111112,3
Mistral 7B,271,2,0.06666666666666667,0.1,0.6666666666666666,3
Mistral 7B,272,1,0.0,0.0,0.0,3
Mistral 7B,273,1,0.0,0.0,0.0,3
Mistral 7B,274,1,0.1,0.1,1.0,3
Mistral 7B,275,1,0.0,0.0,0.0,3
Mistral 7B,276,2,0.03333333333333333,0.0,inf,3
Mistral 7B,277,1,0.0,0.0,0.0,3
Mistral 7B,278,1,0.0,0.1,0.0,3
Mistral 7B,279,1,0.0,0.0,0.0,3
Mistral 7B,280,1,0.2,0.25,0.8,3
Mistral 7B,281,1,0.0,0.0,0.0,3
Mistral 7B,282,2,0.21666666666666665,0.2,1.0833333333333333,3
Mistral 7B,283,1,0.2,0.15,1.3333333333333335,3
Mistral 7B,284,1,0.13333333333333333,0.2,0.6666666666666666,3
Mistral 7B,285,1,0.06666666666666667,0.1,0.6666666666666666,3
Mistral 7B,286,1,0.0,0.0,0.0,3
Mistral 7B,287,2,0.06666666666666667,0.2,0.3333333333333333,3
Mistral 7B,288,1,0.0,0.0,0.0,3
Mistral 7B,289,1,0.0,0.1,0.0,3
Mistral 7B,290,1,0.0,0.0,0.0,3
Mistral 7B,291,1,0.0,0.0,0.0,3
Mistral 7B,292,1,0.0,0.0,0.0,3
Mistral 7B,293,1,0.06666666666666667,0.2,0.3333333333333333,3
Mistral 7B,294,1,0.0,0.1,0.0,3
Mistral 7B,295,1,0.1,0.06666666666666667,1.5,3
Mistral 7B,296,1,0.03333333333333333,0.0,inf,3
Mistral 7B,297,2,0.03333333333333333,0.0,inf,3
Mistral 7B,298,1,0.03333333333333333,0.1,0.3333333333333333,3
Mistral 7B,299,1,0.03333333333333333,0.1,0.3333333333333333,3
